name ;parkingZone   ;terminal ;nature  ;typeAvion
J21  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J20  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J30  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J31  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J34  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J33  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J38  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J37  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J39  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J41  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J40  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J10  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J12  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
J11  ;JulietContact ;2G       ;Contact ;E70,E90,318,319
K44  ;S4            ;S4       ;Contact ;330,340,777,350
L65  ;S4            ;S4       ;Contact ;330,340,777,350
L71  ;S4            ;S4       ;Contact ;330,340,777,350
K52  ;S4            ;S4       ;Contact ;330,340,777,350
K58  ;S4            ;S4       ;Contact ;330,340,777,350
K64  ;S4            ;S4       ;Contact ;330,340,777,350
K70  ;S4            ;S4       ;Contact ;330,340,777,350
K76  ;S4            ;S4       ;Contact ;330,340,777,350
L27  ;S4            ;S4       ;Contact ;330,340,777,350
L33  ;S4            ;S4       ;Contact ;330,340,777,350
L39  ;S4            ;S4       ;Contact ;330,340,777,350
K26  ;S4            ;S4       ;Contact ;330,340,777,350
L53  ;S4            ;S4       ;Contact ;330,340,777,350
K32  ;S4            ;S4       ;Contact ;330,340,777,350
L59  ;S4            ;S4       ;Contact ;330,340,777,350
K38  ;S4            ;S4       ;Contact ;330,340,777,350
K53  ;S4            ;S4       ;Contact ;330,340,777,350
K59  ;S4            ;S4       ;Contact ;330,340,777,350
K65  ;S4            ;S4       ;Contact ;330,340,777,350
K71  ;S4            ;S4       ;Contact ;330,340,777,350
L73  ;S4            ;S4       ;Contact ;330,340,777,350
E10  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E12  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E14  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E16  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E18  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E20  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E22  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E24  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E26  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E30  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E32  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
E34  ;Jetee         ;Jetee    ;Contact ;330,340,777,350
H01  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H03  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H02  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H04  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H09  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H10  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H21  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H20  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H23  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H22  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H30  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H34  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H40  ;HotelNord     ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H05  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H07  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H06  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H08  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H12  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H11  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H50  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H55  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
H60  ;HotelSud      ;2Z       ;Large   ;318,319,320,321,330,340,777,350
F03  ;S3            ;S3       ;Contact ;330,340,777,350
F09  ;S3            ;S3       ;Contact ;330,340,777,350
F15  ;S3            ;S3       ;Contact ;330,340,777,352
F02  ;F1            ;2F       ;Contact ;318,319,320,321
F04  ;F1            ;2F       ;Contact ;318,319,320,321
F08  ;F1            ;2F       ;Contact ;318,319,320,321
F10  ;F1            ;2F       ;Contact ;318,319,320,321
F14  ;F1            ;2F       ;Contact ;318,319,320,321
F16  ;F1            ;2F       ;Contact ;318,319,320,321
F18  ;F1            ;2F       ;Contact ;318,319,320,321
F20  ;F1            ;2F       ;Contact ;318,319,320,321
F22  ;F1            ;2F       ;Contact ;318,319,320,321
F26  ;F1            ;2F       ;Contact ;318,319,320,321
E01  ;S3            ;S3       ;Contact ;330,340,777,350
E05  ;S3            ;S3       ;Contact ;330,340,777,350
E09  ;S3            ;S3       ;Contact ;330,340,777,350
E13  ;S3            ;S3       ;Contact ;330,340,777,350
E17  ;S3            ;S3       ;Contact ;330,340,777,350
E21  ;S3            ;S3       ;Contact ;330,340,777,350
E25  ;S3            ;S3       ;Contact ;330,340,777,350
E27  ;S3            ;S3       ;Contact ;330,340,777,350
E29  ;S3            ;S3       ;Contact ;330,340,777,350
D03  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D05  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D07  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D09  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D11  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D13  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D15  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D17  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
D19  ;DeltaLarge    ;2D       ;Large   ;318,319,320,321
B01  ;BravoLarge    ;2B       ;Large   ;318,319,320,321
B03  ;BravoLarge    ;2B       ;Large   ;318,319,320,321
K01  ;S3            ;S3       ;Large   ;330,340,777,350
K05  ;S3            ;S3       ;Large   ;330,340,777,350
K09  ;S3            ;S3       ;Large   ;330,340,777,350
K13  ;S3            ;S3       ;Large   ;330,340,777,350
K17  ;S3            ;S3       ;Large   ;330,340,777,350
K21  ;S3            ;S3       ;Large   ;330,340,777,350
F66  ;F2            ;2F       ;Contact ;318,319,320,321
F68  ;F2            ;2F       ;Contact ;318,319,320,321
F70  ;F2            ;2F       ;Contact ;318,319,320,321
F72  ;F2            ;2F       ;Contact ;318,319,320,321
F74  ;F2            ;2F       ;Contact ;318,319,320,321
F76  ;F2            ;2F       ;Contact ;318,319,320,321
F78  ;F2            ;2F       ;Contact ;318,319,320,321
F80  ;F2            ;2F       ;Contact ;318,319,320,321
F82  ;F2            ;2F       ;Contact ;318,319,320,321
F84  ;F2            ;2F       ;Contact ;318,319,320,321
F86  ;F2            ;2F       ;Contact ;318,319,320,321
F90  ;F2            ;2F       ;Contact ;318,319,320,321
F92  ;F2            ;2F       ;Contact ;318,319,320,321
F94  ;F2            ;2F       ;Contact ;318,319,320,321
F96  ;F2            ;2F       ;Contact ;318,319,320,321
J01  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
J03  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
J02  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
J05  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
J04  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
J06  ;JulietLarge   ;2G       ;Large   ;E70,E90,318,319,320
